Date,Open,High,Low,Close,Adj Close,Volume
2020-11-06,0.096994,0.109683,0.096721,0.109105,0.109105,717731180
2020-11-07,0.109105,0.113187,0.099408,0.101379,0.101379,861840304
2020-11-08,0.101379,0.108298,0.100179,0.106621,0.106621,625787081
2020-11-09,0.106621,0.107971,0.101456,0.105325,0.105325,802272882
2020-11-10,0.105326,0.108621,0.103939,0.105805,0.105805,700753239
2020-11-11,0.105805,0.108403,0.105540,0.105965,0.105965,631585357
2020-11-12,0.105965,0.106512,0.102827,0.104525,0.104525,634274545
2020-11-13,0.104525,0.107801,0.104062,0.106391,0.106391,477838893
2020-11-14,0.106391,0.106841,0.101736,0.104202,0.104202,432474021
2020-11-15,0.104202,0.105061,0.098801,0.100531,0.100531,358303858
2020-11-16,0.100531,0.104893,0.099656,0.104008,0.104008,400498894
2020-11-17,0.105480,0.111970,0.105112,0.109600,0.109600,622568575
2020-11-18,0.109600,0.111523,0.103546,0.106403,0.106403,692683324
2020-11-19,0.106402,0.107721,0.104525,0.105866,0.105866,590674105
2020-11-20,0.105866,0.118231,0.105778,0.118226,0.118226,688553865
2020-11-21,0.118226,0.133603,0.116771,0.132945,0.132945,1385060442
2020-11-22,0.132945,0.152735,0.120190,0.144760,0.144760,2294032112
2020-11-23,0.144760,0.158153,0.142471,0.153510,0.153510,2203606418
2020-11-24,0.153571,0.182066,0.153571,0.166323,0.166323,2566224959
2020-11-25,0.166346,0.174859,0.149907,0.155162,0.155162,1773041979
2020-11-26,0.155107,0.160220,0.123439,0.138281,0.138281,2523183036
2020-11-27,0.138292,0.144637,0.131366,0.141028,0.141028,1505708870
2020-11-28,0.141074,0.171569,0.139560,0.164791,0.164791,1932319047
2020-11-29,0.164923,0.170575,0.157614,0.166639,0.166639,1731327207
2020-11-30,0.166630,0.172765,0.160600,0.171308,0.171308,2151589402
2020-12-01,0.171367,0.173851,0.146573,0.155983,0.155983,2071556994
2020-12-02,0.155956,0.159662,0.151429,0.158557,0.158557,1367595805
2020-12-03,0.158592,0.168009,0.155936,0.164212,0.164212,1287927035
2020-12-04,0.164209,0.164506,0.146964,0.148241,0.148241,1200621758
2020-12-05,0.148164,0.161383,0.146795,0.159668,0.159668,1036100099
2020-12-06,0.159659,0.162406,0.153430,0.158867,0.158867,886137949
2020-12-07,0.158876,0.159041,0.151737,0.154130,0.154130,789426236
2020-12-08,0.154127,0.154936,0.138959,0.140928,0.140928,939164987
2020-12-09,0.140942,0.149810,0.130468,0.148165,0.148165,1320752603
2020-12-10,0.148170,0.148530,0.139986,0.141994,0.141994,798550525
2020-12-11,0.142022,0.142694,0.135182,0.139449,0.139449,704854539
2020-12-12,0.139423,0.147259,0.139207,0.144460,0.144460,519780651
2020-12-13,0.144503,0.156259,0.143477,0.153964,0.153964,675025745
2020-12-14,0.154016,0.158002,0.149769,0.157992,0.157992,587078385
2020-12-15,0.158065,0.159713,0.153355,0.154305,0.154305,607184173
2020-12-16,0.154312,0.167599,0.149976,0.167589,0.167589,976699799
2020-12-17,0.167571,0.174342,0.161644,0.163483,0.163483,1188727265
2020-12-18,0.163449,0.168635,0.159152,0.164988,0.164988,1101018945
2020-12-19,0.164980,0.170486,0.163320,0.164714,0.164714,586684841
2020-12-20,0.164728,0.167724,0.158695,0.161988,0.161988,729191687
2020-12-21,0.162004,0.165416,0.147903,0.152656,0.152656,1139902286
2020-12-22,0.152634,0.160015,0.149451,0.156179,0.156179,1138400653
2020-12-23,0.156226,0.157414,0.127420,0.136394,0.136394,1484453887
2020-12-24,0.136457,0.154337,0.132127,0.152883,0.152883,1470292431
2020-12-25,0.152886,0.166846,0.150497,0.157564,0.157564,1119917804
2020-12-26,0.157556,0.161981,0.149824,0.157824,0.157824,1191970341
2020-12-27,0.157835,0.165190,0.150378,0.154422,0.154422,1578354821
2020-12-28,0.154440,0.178583,0.153445,0.176735,0.176735,1732151279
2020-12-29,0.176709,0.196170,0.174039,0.192164,0.192164,2967669490
2020-12-30,0.192022,0.193144,0.175681,0.184040,0.184040,1849432295
2020-12-31,0.184034,0.185749,0.176594,0.181397,0.181397,1132268397
2021-01-01,0.181382,0.184246,0.172022,0.175350,0.175350,1122218004
2021-01-02,0.175359,0.184253,0.169233,0.177423,0.177423,1408849504
2021-01-03,0.177382,0.208679,0.173376,0.204995,0.204995,2303857909
2021-01-04,0.205236,0.239661,0.194450,0.224762,0.224762,3260699086
2021-01-05,0.224817,0.264886,0.208454,0.258314,0.258314,4097207384
2021-01-06,0.258549,0.346298,0.256225,0.331898,0.331898,6170988900
2021-01-07,0.332272,0.353344,0.283216,0.299980,0.299980,5149188552
2021-01-08,0.300387,0.320191,0.266476,0.305597,0.305597,4560690774
2021-01-09,0.305611,0.338596,0.296694,0.332973,0.332973,3655608662
2021-01-10,0.332961,0.340394,0.284556,0.304895,0.304895,3732911206
2021-01-11,0.304996,0.304996,0.233033,0.275466,0.275466,4768803200
2021-01-12,0.275249,0.313370,0.265727,0.287003,0.287003,4037298875
2021-01-13,0.286688,0.314465,0.272395,0.313609,0.313609,2656935144
2021-01-14,0.313546,0.323552,0.299800,0.310396,0.310396,2686785564
2021-01-15,0.310554,0.329685,0.280742,0.302530,0.302530,3171984602
2021-01-16,0.302512,0.365411,0.302250,0.352444,0.352444,4476161885
2021-01-17,0.352337,0.395653,0.342834,0.379852,0.379852,5617481334
2021-01-18,0.379735,0.395443,0.366233,0.371428,0.371428,3480282508
2021-01-19,0.371457,0.382987,0.363624,0.369137,0.369137,2957453653
2021-01-20,0.368936,0.376197,0.331958,0.375394,0.375394,3281600988
